epoch,q_loss,p_loss,rewards
1,7.604269238114357,5.081088694538921,[{'rewards': -1496.54730407468}]
10,0.3692044970020652,11.834606552124024,[{'rewards': -1681.8923100920927}]
20,2.1876405220851303,23.140335083007812,[{'rewards': -1016.3603570575373}]
30,5.479321903958916,33.578368511199955,[{'rewards': -1046.5062527955436}]
40,9.746873587444425,43.067903995513916,[{'rewards': -1500.5400935597759}]
50,14.565990355759858,51.54731672286987,[{'rewards': -654.7240265725715}]
60,19.457594038695095,58.9841823387146,[{'rewards': -647.625800375025}]
70,24.230120635926724,65.6193333053589,[{'rewards': -127.82695082989825}]
80,28.908870294243098,71.54971437454223,[{'rewards': -129.55168301716685}]
90,33.68132877022028,76.78020450592041,[{'rewards': -120.73595669142371}]
100,38.47220120549202,81.37347396850586,[{'rewards': -129.60092297238117}]
110,42.87779095709324,85.17261417388916,[{'rewards': -249.1917078923132}]
120,47.011695975661276,88.39500411987305,[{'rewards': -119.9868586056866}]
130,51.19522735893727,91.08402530670166,[{'rewards': -242.17089400691933}]
140,55.46016783475876,93.24167789459229,[{'rewards': -122.05457095103515}]
150,59.60714741587639,94.90274501800538,[{'rewards': -124.11472853491837}]
160,63.36294291436672,95.9784098815918,[{'rewards': -516.0133765987654}]
170,66.74858655810357,96.3699465560913,[{'rewards': -126.60987838276128}]
180,69.66942850232124,96.21815128326416,[{'rewards': -119.04947474350587}]
190,71.97432927072049,95.48469844818115,[{'rewards': -606.6878711996009}]
200,73.599994328022,94.20826694488525,[{'rewards': -123.2266107466332}]
