s1,s2,s3,action,reward,ns1,ns2,ns3,done
0.6520163,0.758205,-0.46042657,-0.50183952461055,-0.7620072,0.6507662,0.7592782,0.032951236,0.0
0.6507662,0.7592782,0.032951236,1.8028572256396647,-0.7467533,0.6170207,0.7869469,0.87283844,0.0
0.6170207,0.7869469,0.87283844,0.9279757672456204,-0.89760125,0.5520651,0.83380103,1.602245,0.0
0.5520651,0.83380103,1.602245,0.3946339367881464,-1.2289866,0.45333147,0.891342,2.2867908,0.0
0.45333147,0.891342,2.2867908,-1.375925438230254,-1.7354878,0.3269307,0.94504833,2.7489085,0.0
0.3269307,0.94504833,2.7489085,-1.3760219186551894,-2.2895494,0.16966467,0.9855018,3.2512915,0.0
0.16966467,0.9855018,3.2512915,-1.7676655513272022,-3.0210738,-0.015773363,0.9998756,3.7252681,0.0
-0.015773363,0.9998756,3.7252681,1.4647045830997407,-3.907113,-0.24790587,0.96878415,4.6948805,0.0
-0.24790587,0.96878415,4.6948805,0.4044600469728352,-5.5215397,-0.5008884,0.8655119,5.4821377,0.0
-0.5008884,0.8655119,5.4821377,0.832290311184182,-7.3968663,-0.7429257,0.66937387,6.256115,0.0
-0.7429257,0.66937387,6.256115,-1.9176620228167902,-9.717133,-0.91718423,0.39846337,6.470496,0.0
-0.91718423,0.39846337,6.470496,1.8796394086479773,-11.652733,-0.99836016,0.05724507,7.0512896,0.0
-0.99836016,0.05724507,7.0512896,1.329770563201687,-14.486843,-0.95312107,-0.30258924,7.293689,0.0
-0.95312107,-0.30258924,7.293689,-1.1506435572868954,-13.353716,-0.7948017,-0.6068692,6.8941503,0.0
-0.7948017,-0.6068692,6.8941503,-1.2727001311715975,-10.952046,-0.56981117,-0.8217757,6.2480936,0.0
-0.56981117,-0.8217757,6.2480936,-1.2663819605862647,-8.645115,-0.32800016,-0.94467765,5.4418044,0.0
-0.32800016,-0.94467765,5.4418044,-0.7830310281618491,-6.5908937,-0.10320964,-0.9946596,4.6158414,0.0
-0.10320964,-0.9946596,4.6158414,0.09902572652895136,-4.9335217,0.090716384,-0.9958768,3.8847008,0.0
0.090716384,-0.9958768,3.8847008,-0.27221992543153695,-3.699431,0.24322496,-0.9699699,3.09696,0.0
0.24322496,-0.9699699,3.09696,-0.8350834392078323,-2.7157223,0.35030836,-0.9366344,2.2442203,0.0
0.35030836,-0.9366344,2.2442203,0.4474115788895179,-1.9749694,0.4244398,-0.9054562,1.6088561,0.0
0.4244398,-0.9054562,1.6088561,-1.4420245573918327,-1.5433716,0.45646328,-0.88974226,0.7134603,0.0
0.45646328,-0.88974226,0.7134603,-0.8314214058591274,-1.2545207,0.45296487,-0.89152837,-0.0785596,0.0
0.45296487,-0.89152837,-0.0785596,-0.5345526268252332,-1.2124615,0.4157058,-0.90949917,-0.82738876,0.0
