epoch,q_loss,p_loss,rewards
1,0.058674356050789356,-0.06184764300652023,[{'rewards': np.float64(-21.986303523259945)}]
2,0.021219596242532134,-0.1153521424983046,[{'rewards': np.float64(40.719959688374104)}]
3,0.01711513479612768,-0.14683218666166067,[{'rewards': np.float64(15.30076051945711)}]
4,0.015681606524623932,-0.16217192617058754,[{'rewards': np.float64(14.198030186363553)}]
5,0.01502856801636517,-0.17004294154793023,[{'rewards': np.float64(15.259824498662962)}]
6,0.05790131606161594,-0.46606499163806436,[{'rewards': np.float64(21.03451460403197)}]
7,0.04336325730569661,-0.5627920907437801,[{'rewards': np.float64(32.694799607841325)}]
8,0.040456334939226506,-0.5890511747300625,[{'rewards': np.float64(31.651048618452574)}]
9,0.03866224005445838,-0.5987587203979492,[{'rewards': np.float64(33.80500296370805)}]
10,0.03722335937432945,-0.603220324575901,[{'rewards': np.float64(29.605673070583453)}]
11,0.10143670101463795,-1.1619451512694359,[{'rewards': np.float64(36.36185682068753)}]
12,0.08307913111522794,-1.245861864387989,[{'rewards': np.float64(40.12018365987114)}]
13,0.07889562981203198,-1.2644282162189484,[{'rewards': np.float64(36.89780982801491)}]
14,0.07588262876868249,-1.270927922785282,[{'rewards': np.float64(31.65011372245519)}]
15,0.07337417363375426,-1.2746186097860337,[{'rewards': np.float64(38.342388265303356)}]
16,0.15650499395281076,-2.0543248068094253,[{'rewards': np.float64(38.93482007710728)}]
17,0.13041899132356047,-2.1325379482507705,[{'rewards': np.float64(37.73778522568627)}]
18,0.12470575977116823,-2.1471210815906523,[{'rewards': np.float64(38.17275150709313)}]
19,0.12048925326019526,-2.1516347674131393,[{'rewards': np.float64(29.467132192531654)}]
20,0.11700543784350156,-2.1537907180786133,[{'rewards': np.float64(40.53293903244354)}]
21,0.22408612281829118,-3.138316558599472,[{'rewards': np.float64(47.836582160223024)}]
22,0.1881710306853056,-3.2150865650177,[{'rewards': np.float64(32.18550849687554)}]
23,0.1808069474324584,-3.2257215383052826,[{'rewards': np.float64(32.75190508257792)}]
24,0.17543902093917133,-3.2280571928024293,[{'rewards': np.float64(30.37357503161669)}]
25,0.17103074525296688,-3.2291656017303465,[{'rewards': np.float64(33.03578429087929)}]
26,0.3114400451481342,-4.41650063920021,[{'rewards': np.float64(34.383476548894016)}]
27,0.2638853477612138,-4.494650450468064,[{'rewards': np.float64(36.49990016169922)}]
28,0.2546531517505646,-4.502026564359665,[{'rewards': np.float64(31.70583609801725)}]
29,0.24779813118278982,-4.5019396634101865,[{'rewards': np.float64(30.434735924981133)}]
30,0.2421424554735422,-4.500638283729553,[{'rewards': np.float64(37.9241075302251)}]
31,0.42443990759551525,-5.893478856086731,[{'rewards': np.float64(32.59565695445626)}]
32,0.36271460108458997,-5.97362690114975,[{'rewards': np.float64(38.32270623645209)}]
33,0.35095791608095167,-5.978016884326935,[{'rewards': np.float64(39.18877205699933)}]
34,0.34222314547002314,-5.97590118598938,[{'rewards': np.float64(36.564538508557526)}]
35,0.3352439194023609,-5.973737362384796,[{'rewards': np.float64(31.7056540686572)}]
36,0.5663729406893253,-7.579044763565063,[{'rewards': np.float64(42.01692532386983)}]
37,0.48813334561884403,-7.661134286403656,[{'rewards': np.float64(31.250726067814178)}]
38,0.47364545267820357,-7.662326455593109,[{'rewards': np.float64(29.976580111561706)}]
39,0.4629393698722124,-7.658340396881104,[{'rewards': np.float64(25.20161803046348)}]
40,0.45413515949249267,-7.653716260910034,[{'rewards': np.float64(34.169573672735304)}]
41,0.7400348028242588,-9.465073657989501,[{'rewards': np.float64(29.0607979781186)}]
42,0.6432873708605766,-9.54588724899292,[{'rewards': np.float64(32.682031945268825)}]
43,0.625408303797245,-9.543136819839477,[{'rewards': np.float64(33.11688844533761)}]
44,0.6124772765636444,-9.536169659614563,[{'rewards': np.float64(32.15681214881071)}]
45,0.6021073468923569,-9.529245897293091,[{'rewards': np.float64(30.42139418439266)}]
46,0.9468544486761094,-11.540737663269043,[{'rewards': np.float64(30.142924739044734)}]
47,0.8323926720917225,-11.619736844062805,[{'rewards': np.float64(36.22818147055371)}]
48,0.8117085947990418,-11.613166373252868,[{'rewards': np.float64(31.6491817505026)}]
49,0.7967982105016709,-11.603520281791686,[{'rewards': np.float64(35.27879879014707)}]
50,0.7849369514584541,-11.59465791797638,[{'rewards': np.float64(37.460156634036004)}]
51,1.1923789976239205,-13.799029992103577,[{'rewards': np.float64(37.829377063790254)}]
52,1.0600863088965415,-13.877296526908875,[{'rewards': np.float64(39.34574289830159)}]
53,1.0361820999383926,-13.868216611862183,[{'rewards': np.float64(41.14192682160901)}]
54,1.0185700752735138,-13.856527873039246,[{'rewards': np.float64(46.24721559122555)}]
55,1.00443840610981,-13.846163094520568,[{'rewards': np.float64(32.82609561113345)}]
56,1.4813689358830453,-16.240597418785097,[{'rewards': np.float64(45.37919740307167)}]
57,1.3304260340332985,-16.320216586112977,[{'rewards': np.float64(45.98741138834541)}]
58,1.3021862746477126,-16.309752076148985,[{'rewards': np.float64(49.627095351735164)}]
59,1.2819363821148873,-16.296626027107237,[{'rewards': np.float64(47.94581345470456)}]
60,1.265701015651226,-16.28492282676697,[{'rewards': np.float64(36.462068804162385)}]
61,1.821787003338337,-18.873293296813966,[{'rewards': np.float64(35.039567673815306)}]
62,1.6498151233196259,-18.95825817489624,[{'rewards': np.float64(38.08851897778042)}]
63,1.6179441529512406,-18.947902536392213,[{'rewards': np.float64(45.349323679194626)}]
64,1.5948667955398559,-18.934146060943604,[{'rewards': np.float64(46.577817339957576)}]
65,1.5764527413249017,-18.920936079025267,[{'rewards': np.float64(40.863023777089474)}]
66,2.2241723173856736,-21.710975330352785,[{'rewards': np.float64(41.470815199451756)}]
67,2.0304469420909883,-21.80309462738037,[{'rewards': np.float64(41.61378922760831)}]
68,1.9944998873472213,-21.793543907165528,[{'rewards': np.float64(18.691759766935103)}]
69,1.96800386095047,-21.780073835372924,[{'rewards': np.float64(45.179645928178225)}]
70,1.9470992487668992,-21.767035091400146,[{'rewards': np.float64(32.43552213486628)}]
71,2.6990168113708495,-24.771402742385863,[{'rewards': np.float64(25.341558703586763)}]
72,2.4725877159833907,-24.86992992782593,[{'rewards': np.float64(9.298081697475997)}]
73,2.4320129733085634,-24.86097928237915,[{'rewards': np.float64(9.076530883866393)}]
74,2.4024994629621506,-24.84699094581604,[{'rewards': np.float64(33.760633111353826)}]
75,2.3790185604095457,-24.83316750717163,[{'rewards': np.float64(47.439943596214526)}]
76,3.25536578309536,-28.067729404449462,[{'rewards': np.float64(20.020967865970064)}]
77,2.995010884642601,-28.17351908111572,[{'rewards': np.float64(20.336274303315054)}]
78,2.9509507123231886,-28.16251902961731,[{'rewards': np.float64(46.08938596810113)}]
79,2.9193894369602202,-28.14701909828186,[{'rewards': np.float64(38.31466528065477)}]
80,2.893464551448822,-28.13157639694214,[{'rewards': np.float64(46.82525481588976)}]
81,3.916178557395935,-31.60315234375,[{'rewards': np.float64(46.976861425336686)}]
82,3.6148233488798143,-31.715104026794435,[{'rewards': np.float64(42.484900857466805)}]
83,3.561799588561058,-31.70249600982666,[{'rewards': np.float64(8.759393185616762)}]
84,3.522294991850853,-31.686695964813232,[{'rewards': np.float64(46.3351933750014)}]
85,3.4902172051668168,-31.672151575088503,[{'rewards': np.float64(43.998984265981825)}]
86,4.677807152748108,-35.39480583953858,[{'rewards': np.float64(29.962322894922202)}]
87,4.316660055637359,-35.52278894805908,[{'rewards': np.float64(15.206827743245668)}]
